0.75,3,0.05,1000,0,0,20,1020,1029,19,35,132,524,5
0.75,5,0.05,1000,0,0,18,864,864,6,11,230,340,3
0.75,10,0.05,1000,0,0,7,617,820,2,6,83,393,0
0.75,15,0.05,1000,0,0,2,385,39,3,4,1,424,0
0.75,20,0.05,1000,0,0,3,261,118,2,4,44,336,0
0.75,25,0.05,1000,0,0,1,330,4,4,4,142,193,0
0.75,30,0.05,1000,0,0,3,225,61,2,4,4,283,0
0.75,3,0.05,1000,1,0,31,896,1153,8,28,228,428,12
0.75,5,0.05,1000,1,0,6,981,747,18,12,131,439,2
0.75,10,0.05,1000,1,0,7,639,798,2,6,119,357,0
0.75,15,0.05,1000,1,0,1,407,17,4,4,22,403,0
0.75,20,0.05,1000,1,0,3,256,123,2,4,38,342,0
0.75,25,0.05,1000,1,0,1,317,17,4,4,77,258,0
0.75,30,0.05,1000,1,0,3,229,57,2,3,85,202,1
0.75,3,0.05,1000,2,0,20,1020,1029,19,35,132,524,5
0.75,5,0.05,1000,2,0,18,864,864,6,11,230,340,3
0.75,10,0.05,1000,2,0,7,617,820,2,6,83,393,0
0.75,15,0.05,1000,2,0,2,385,39,3,4,1,424,0
0.75,20,0.05,1000,2,0,3,261,118,2,4,44,336,0
0.75,25,0.05,1000,2,0,1,330,4,4,4,142,193,0
0.75,30,0.05,1000,2,0,3,225,61,2,4,4,283,0
0.75,3,0.05,2000,0,0,23,1005,1044,16,5,618,38,35
0.75,5,0.05,2000,0,0,18,882,846,6,10,294,276,4
0.75,10,0.05,2000,0,0,5,848,589,4,6,138,338,0
0.75,15,0.05,2000,0,0,2,385,39,3,4,22,403,0
0.75,20,0.05,2000,0,0,3,261,118,2,3,173,207,1
0.75,25,0.05,2000,0,0,1,330,4,4,4,187,148,0
0.75,30,0.05,2000,0,0,3,242,44,2,3,95,192,1
0.75,3,0.05,2000,1,0,25,1082,967,14,5,618,38,35
0.75,5,0.05,2000,1,0,14,928,800,10,13,132,438,1
0.75,10,0.05,2000,1,0,5,784,653,4,6,174,302,0
0.75,15,0.05,2000,1,0,1,407,17,4,4,21,404,0
0.75,20,0.05,2000,1,0,3,256,123,2,3,136,244,1
0.75,25,0.05,2000,1,0,1,317,17,4,4,122,213,0
0.75,30,0.05,2000,1,0,3,229,57,2,3,124,163,1
0.75,3,0.05,2000,2,0,23,1005,1044,16,5,618,38,35
0.75,5,0.05,2000,2,0,18,882,846,6,10,294,276,4
0.75,10,0.05,2000,2,0,5,848,589,4,6,138,338,0
0.75,15,0.05,2000,2,0,2,385,39,3,4,22,403,0
0.75,20,0.05,2000,2,0,3,261,118,2,3,173,207,1
0.75,25,0.05,2000,2,0,1,330,4,4,4,187,148,0
0.75,30,0.05,2000,2,0,3,242,44,2,3,95,192,1
0.75,3,0.05,3000,0,0,27,966,1083,12,5,618,38,35
0.75,5,0.05,3000,0,0,7,935,793,17,13,253,317,1
0.75,10,0.05,3000,0,0,6,790,647,3,5,237,239,1
0.75,15,0.05,3000,0,0,2,365,59,3,4,8,417,0
0.75,20,0.05,3000,0,0,3,356,23,2,3,126,254,1
0.75,25,0.05,3000,0,0,3,232,102,2,4,197,138,0
0.75,30,0.05,3000,0,0,2,236,50,3,3,151,136,1
0.75,3,0.05,3000,1,0,22,1250,799,17,5,618,38,35
0.75,5,0.05,3000,1,0,11,1070,658,13,13,138,432,1
0.75,10,0.05,3000,1,0,3,906,531,6,6,173,303,0
0.75,15,0.05,3000,1,0,3,279,145,2,4,21,404,0
0.75,20,0.05,3000,1,0,3,305,74,2,3,135,245,1
0.75,25,0.05,3000,1,0,3,246,88,2,4,121,214,0
0.75,30,0.05,3000,1,0,1,286,0,4,3,123,164,1
0.75,3,0.05,3000,2,0,27,966,1083,12,5,618,38,35
0.75,5,0.05,3000,2,0,7,935,793,17,13,253,317,1
0.75,10,0.05,3000,2,0,6,790,647,3,5,237,239,1
0.75,15,0.05,3000,2,0,2,365,59,3,4,8,417,0
0.75,20,0.05,3000,2,0,3,356,23,2,3,126,254,1
0.75,25,0.05,3000,2,0,3,232,102,2,4,197,138,0
0.75,30,0.05,3000,2,0,2,236,50,3,3,151,136,1
